Out of Africa,1985,Action  |  Biography ,7.2,/images/out-of-africa-1985.jpg,/images/out-of-africa-1985-screenshot3.jpg,/images/out-of-africa-1985-screenshot2.jpg,/images/out-of-africa-1985-screenshot1.jpg,https://www.youtube.com/embed/CbVTzvvvtQ8?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, Follows the life of Karen Blixen  who establishes a plantation in Africa. Her life is Complicated by a husband of convenience (Bror Blixen)  a true love (Denys)  troubles on the plantation  schooling of the natives  war  and catching VD from her husband. ,magnet:?xt=urn:btih:498F2C85690A0A0A8A69A278F8E2AC4CE77B9683&dn=Out+of+Africa+%281985%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,1.16 GB
Mythica: The Iron Crown,2016,Action  |  Drama,5.8,/images/alex-of-venice-2014.jpg,/images/alex-of-venice-2014-screenshot3.jpg,/images/alex-of-venice-2014-screenshot2.jpg,/images/alex-of-venice-2014-screenshot1.jpg,https://www.youtube.com/embed/FpLBd14-Txk?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, Workaholic attorney  Alex [Winstead] is forced to reinvent her life after her husband suddenly leaves. Now faced with the humdrum and sometimes catastrophic events that permeate the fabric of our lives  Alex discovers both a vulnerability and inner strength she had not yet tapped all while trying to hold together her broken family. ,magnet:?xt=urn:btih:0B1A2E40F068C0E488B9ACFC175FBA173D872367&dn=Alex+of+Venice+%282014%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,629.2 MB
Alex of Venice,2014,Action  |  Adventure ,5.4,/images/mythica-the-iron-crown-2016.jpg,/images/mythica-the-iron-crown-2016-screenshot3.jpg,/images/mythica-the-iron-crown-2016-screenshot2.jpg,/images/mythica-the-iron-crown-2016-screenshot1.jpg,https://www.youtube.com/embed/2uU_EoIj3tw?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, When a team of unlikely heroes hijacks a steam-powered battle wagon  a daring young wizard (Marek) steals the final piece of the all-powerful Darkspore and embarks on a desperate quest to deliver the cursed artifact to the gods for safe keeping; but when they are caught in a death race between a ruthless team of elite mercenaries and a trinity of demons  Marek must learn to believe in herself before her friends are killed and the Darkspore is lost  to stop the evil necromancer (Szorlok) from uniting the Darkspore and flooding the living world with his legions of undead. ,magnet:?xt=urn:btih:61E0ADC34EE1CF3D8CF9A446E068C434A30A3340&dn=Mythica%3A+The+Iron+Crown+%282016%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,718.3 MB
Burroughs: The Movie,1983,Action  |  Biography ,7.1,/images/burroughs-the-movie-1983.jpg,/images/burroughs-the-movie-1983-screenshot3.jpg,/images/burroughs-the-movie-1983-screenshot2.jpg,/images/burroughs-the-movie-1983-screenshot1.jpg,https://www.youtube.com/embed/oUYBCK1h3A0?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, Burroughs: The Movie explores the life and times of controversial Naked Lunch author William S. Burroughs  with an intimacy never before seen and never repeated. The film charts the development of Burroughs unique literary style and his wildly unconventional life  including his travels from the American Midwest to North Africa and several personal tragedies. Burroughs: The Movie is the first and only feature length documentary to be made with and about Burroughs. The film was directed by the late Howard Brookner. It was begun in 1978 as Brookners senior thesis at NYU film school and then expanded into a feature which was completed 5 years later in 1983. Sound was recorded by Jim Jarmusch and the film was shot by Tom DiCillo  fellow NYU classmates and both very close friends of Brookners. ,magnet:?xt=urn:btih:6F692A3E63296DD9FAF84BA7CFF899F2E898C0CD&dn=Burroughs%3A+The+Movie+%281983%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,632.92 MB
Hellfighters,1968,Action  |  Adventure ,6.6,/images/hellfighters-1968.jpg,/images/hellfighters-1968-screenshot3.jpg,/images/hellfighters-1968-screenshot2.jpg,/images/hellfighters-1968-screenshot1.jpg,https://www.youtube.com/embed/TU5DkvnTQ2Y?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, The telling of Chance Buckman an oil rig fire fighter who becomes hospitalized and has to come to grips with how his job interfered with his marriage  after being laid up in a hospital bed after an accident with a news man running in front of a bulldozer causing it to swirve into Chance  and forcing him to allow veteran oil fire fighter Greg  a cocky but knowledgeable Greg becoming his son in law and he has to learn tolerance for not being able to control his daughter wanting to visit oil fires and learn how to rekindle the spark that went out with his ex of more than 25 years and the fear of losing her daughter as well as her husband to the oil fighting. ,magnet:?xt=urn:btih:A1F27E6ECF556E9882A71217D347F19DE6840953&dn=Hellfighters+%281968%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,877.76 MB
Oddball and the Penguins,2015,Action  |  Adventure ,6.4,/images/oddball-and-the-penguins-2015.jpg,/images/oddball-and-the-penguins-2015-screenshot3.jpg,/images/oddball-and-the-penguins-2015-screenshot2.jpg,/images/oddball-and-the-penguins-2015-screenshot1.jpg,https://www.youtube.com/embed/P7AV2ZYlxvI?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, The true story about an eccentric chicken farmer (Shane Jacobson) who  with the help of his granddaughter  trains his mischievous dog Oddball to protect a wild penguin sanctuary from fox attacks and in the process tries to reunite his family and save their seaside town. ,magnet:?xt=urn:btih:9BCCDA5E07E059CB2D39064E8CDA8543545C16D5&dn=Oddball+and+the+Penguins+%282015%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,690.13 MB
In the Heat of the Night,1967,Action  |  Crime ,8.0,/images/in-the-heat-of-the-night-1967.jpg,/images/in-the-heat-of-the-night-1967-screenshot3.jpg,/images/in-the-heat-of-the-night-1967-screenshot2.jpg,/images/in-the-heat-of-the-night-1967-screenshot1.jpg,https://www.youtube.com/embed/nMj0-fU25dM?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, Detective Virgil Tibbs is caught up in the racial tension of the US South when he is arrested after the murder of a prominent businessman. Tibbs was simply waiting for his next train at the station in Sparta  Mississippi and the confusion is soon resolved but when local police chief Gillespie learns that Tibbs is the Philadelphia PDs number one homicide expert  he reluctantly asks for his assistance. The murdered man  Mr. Colbert  had come to Sparta from the North to build a new factory and his wife and business associates immediately point the finger at Endicott  the most powerful man in the county and the one who had the most to lose if a major new employer comes to the area. Tibbs life is clearly in danger but he perseveres in a highly charged and racially explosive environment until the killer is found. ,magnet:?xt=urn:btih:2DE8BBF41E515D9F8615C087B443D307E8BB2E11&dn=In+the+Heat+of+the+Night+%281967%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,802.88 MB
Moontrap: Target Earth,2017,Action  |  Adventure ,4.8,/images/moontrap-target-earth-2017.jpg,/images/moontrap-target-earth-2017-screenshot3.jpg,/images/moontrap-target-earth-2017-screenshot2.jpg,/images/moontrap-target-earth-2017-screenshot1.jpg,https://www.youtube.com/embed/e-m7k7Y3vDw?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, A long forgotten ancient spacecraft discovered on Earth. Investigations carried out by Scout transport her to the moon whereupon she meets the impressive machines preserving the wisdom of that long lost civilization. ,magnet:?xt=urn:btih:159B2CFBC44B07B373F3D02C8A48AD6D643120EE&dn=Moontrap%3A+Target+Earth+%282017%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,627.54 MB
Despite the Falling Snow,2016,Drama,7.6,/images/a-taste-of-honey-1961.jpg,/images/a-taste-of-honey-1961-screenshot3.jpg,/images/a-taste-of-honey-1961-screenshot2.jpg,/images/a-taste-of-honey-1961-screenshot1.jpg,https://www.youtube.com/embed/y7LK_-rUfdU?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?," Black and white  gay and straight  mothers and daughters  class  and coming of age. Jo is working class  in her teens  living with her drunk and libidinous mother in northern England. When mom marries impulsively  Jo is out on the streets; she and Geoffrey  a gay co worker whos adrift himself  find a room together. Then Jo finds herself pregnant after a one night stand with Jimmy  a Black sailor. Geoffrey takes over the preparations for the babys birth  and becomes  in effect  the childs father. The three of them seem to have things sorted out when Jos mother reappears on the scene  assertive and domineering. Which ""family"" will emerge? ",magnet:?xt=urn:btih:95C5B3EC494E920AC1FC3EEAADB1F446EE1118DE&dn=A+Taste+of+Honey+%281961%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,716.08 MB
A Taste of Honey,1961,Action  |  Drama ,5.8,/images/despite-the-falling-snow-2016.jpg,/images/despite-the-falling-snow-2016-screenshot3.jpg,/images/despite-the-falling-snow-2016-screenshot2.jpg,/images/despite-the-falling-snow-2016-screenshot1.jpg,https://www.youtube.com/embed/PkS1Q_Ik5BM?rel=0&wmode=transparent&border=0&autoplay=1&iv_load_policy=3?, In 1950s Moscow  communist Katya secretly spies for the Americans in the Cold War arms race. When she lands her biggest assignment  stealing secrets from rising government star Alexander  the last thing she expects is to fall in love with him. Reconciling her passion for him with her beliefs about communism means making the greatest sacrifice - of her life - a sacrifice that Alexander only uncovers thirty years later. ,magnet:?xt=urn:btih:27DB79675392C27241A1DD51C6EC554A24FBFF9E&dn=Despite+the+Falling+Snow+%282016%29+%5B720p%5D+%5BYTS.LT%5D&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fp4p.arenabg.ch%3A1337&tr=udp%3A%2F%2Ftracker.internetwarriors.net%3A1337,BluRay,687.67 MB
